id_comptag,type_correction,cree_le,modifie_le
19-D1089-30+0,null -> divise par 2,2026-02-28,
19-D921-3+760,null -> divise par 2,2026-02-28,
19-D921-5+0,null -> divise par 2,2026-02-28,
19-D979-57+0,null -> divise par 2,2026-02-28,
19-D982-37+970,null -> divise par 2,2026-02-28,
19-D3-53+0,divise par 2 -> null,2026-02-28,
