id_comptag,id_ign,id_simpli
19-D902-13+340,TRONROUT0000000097334200;TRONROUT0000000097332757;TRONROUT0000002275790791;TRONROUT0000000097332751;TRONROUT0000000097334284;TRONROUT0000000097334204;TRONROUT0000000097332752;TRONROUT0000000097332748;TRONROUT0000002010496930;TRONROUT0000002275790795;TRONROUT0000000097332760;TRONROUT0000000097334203;TRONROUT0000000097332749;TRONROUT0000000097332750;TRONROUT0000000097334205;TRONROUT0000002010496931;TRONROUT0000000097332753;TRONROUT0000000097334269;TRONROUT0000000097332756;TRONROUT0000002010496932;TRONROUT0000000097334202;TRONROUT0000000097332755;TRONROUT0000000097334201;TRONROUT0000000097334206,
19-D25-0+230,,289095
19-D1089-105+710,,291445;291454;360315
19-D921-11+560,,293930;294127;294128
